ACO Doing Business As (DBA) or Legal Business Name (LBN),States Where Beneficiaries Reside ,Agreement Start Date,Track,Participate in Advance Payment Model , Total Assigned Beneficiaries ,Total Benchmark Expenditures,Total Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures,Total Benchmark Minus Assigned Beneficiary Expenditures as % of Total Benchmark,"Generated Savings/Losses1,2","Earned Shared Savings Payments/Owe Losses3,4",Successfully Reported Quality5,Quality Score6,ACO-1,ACO-2,ACO-3,ACO-4,ACO-5,ACO-6,ACO-7,ACO-8^,ACO-9^,ACO-10^,ACO-11,ACO-12,ACO-13,ACO-14,ACO-15,ACO-16,ACO-17,ACO-18,ACO-19,ACO-20,ACO-21,DM Composite,ACO-22,ACO-23,ACO-24,ACO-25,ACO-26,ACO-27^,ACO-28,ACO-29,ACO-30,ACO-31,CAD Composite,ACO-32,ACO-33
"Pioneer Valley Accountable Care, LLC","Massachusetts,  Connecticut",01/01/2013,Track1,No,35631,$303455159,$303363237,$91922,0.03%,,-,Yes,89.06%,83.09,92.31,91.35,84.31,63.13,74.57,71.94,15.11,1.27,1.54,88.42,100,68.75,58.18,80.68,61.89,92.08,49.46,75.39,82.25,73.62,32.38,71.69,63.54,74.75,87.37,88.82,13.44,72.6,69.28,92.61,73.37,75.42,87.83,68.42
PMC ACO,Michigan,01/01/2014,Track1,No,6990,$86726028,$84696834,$2029193,2.34%,,-,Yes,P4R,76.53,90.65,90.19,85.15,60.1,71.59,69.47,15.99,1.32,1.58,78.05,37.43,41.24,42.9,31.39,43.65,55.17,24.94,62.43,82.18,36.32,8.77,60.26,42.22,57.95,46.85,42.54,29.08,57.92,47.45,41.65,96.77,57.34,66.21,72.47
POM ACO,Michigan,01/01/2013,Track1,No,122032,$1101577828,$1074504180,$27073648,2.46%,$27073648,"$12,075,693 ",Yes,91.03%,81.46,93.22,91.87,84.54,61.56,77.48,68.48,15.1,0.86,1.12,89.15,86.36,35.85,63.03,63.58,67.49,91.95,33.46,68.04,68.9,64.74,27.23,73.95,64.2,72.44,72.44,80.2,13.78,67.93,63.39,87.8,88.52,73.24,81.4,76.68
"Premier ACO Physician Network, LLC",California,04/01/2012,Track1,No,8683,$112544846,$113658521,$-1113674,-0.99%,,-,Yes,83.87%,83.56,93.53,90.87,86.54,61.23,70.33,68.15,15.43,1.16,0.97,76.77,53.77,35.46,51.71,48.06,63.65,84.72,26.43,53.73,53.56,60.92,17.02,67.23,53.99,66.81,68.49,52.55,24.27,70.58,58.19,66.38,89.47,60.25,72,68.84
Premier Care Network LLC,"Nevada,  Arizona,  California",01/01/2014,Track1,No,11313,$108278283,$111775787,$-3497504,-3.23%,,-,Yes,P4R,73.35,90.85,88.39,79.59,57.41,75.78,70.76,15.7,1.29,1.2,94.74,94.29,30.35,49.27,43.79,82.28,89.58,51.81,50.1,63.17,83.93,23.72,62.23,54.2,68.43,78.47,77.36,24.82,66.08,52.77,84.04,94.81,76.69,82.92,76.5
"Premier Choice ACO, Inc.",California,01/01/2014,Track1,No,9732,$95295625,$92712562,$2583063,2.71%,,-,Yes,P4R,76.99,90.58,89.31,80.99,51.23,70.65,70.68,14.54,0.7,0.9,72,36.84,25.31,23.78,30.07,62.68,86.6,7.63,45.63,56.24,57.64,12.57,43.89,35.22,69.03,74.87,74.14,50.53,64.33,33.73,78.51,85.71,39.42,44.19,70.64
"Premier Patient Healthcare, LLC","Oklahoma,  Texas",01/01/2014,Track1,No,22402,$281474780,$269625269,$11849511,4.21%,$11849511,"$5,806,261 ",Yes,P4R,80.44,92.31,91.71,86.6,57.86,76.97,68,15.42,1.58,0.9,50.5,37.82,14.48,28.91,29.46,55.9,81.91,16.48,24.76,40.08,57.04,3.13,67.55,50.72,67.55,12.74,86.44,21.77,64.62,52.94,79.58,93.85,59.71,66.17,72
"PremierMD ACO, LLC",Florida,01/01/2014,Track1,No,6507,$94884249,$96411942,$-1527693,-1.61%,,-,Yes,P4R,78.27,92.87,91.9,83.97,60.12,71.41,69.54,15.86,1.49,1.23,62.26,91.57,25.43,20.35,18.6,76.62,87.61,21.85,38.63,58.02,76.82,27.54,71.75,52.63,75.09,84.91,78.92,18.82,79.03,58.61,79.3,88.64,66.33,74.19,77.11
Primary Care Alliance LLC,Florida,01/01/2013,Track1,No,7897,$87947461,$81825570,$6121891,6.96%,$6121891,"$2,440,291 ",Yes,81.35%,73.68,89.23,87.44,82.21,58.37,69.27,72.23,15.12,0.98,1.06,30.77,99.49,58.37,58.23,51.48,98.47,99.3,61.35,79.51,89.08,0,27.95,63.15,58.39,78.67,87.78,92.21,13.87,73.29,62.38,94.9,93.58,63.08,68.72,80.08
Primary Comprehensive Care ACO LLC,"North Carolina,  Illinois",01/01/2014,Track1,No,5668,$53977860,$50581733,$3396127,6.29%,$3396127,-,No,P4R,83.68,92.07,91.35,88.54,56.63,73.45,70.28,14.9,1.69,0.97,42.22,,,,,,,,,,,,,,,,,,,,,,,,
"Primary PartnerCare Associates IPA, Inc.",New York,01/01/2014,Track1,No,6347,$79296747,$78919174,$377572,0.48%,,-,Yes,P4R,82.35,93.71,92.77,84.33,54.24,72.56,69.21,15.61,1.3,0.97,31.25,97.99,40.86,75.04,48.21,50.95,79.64,36.53,63.79,64.17,80.46,8.06,25.81,17.28,18.89,26.04,8.1,69.82,35.87,7.21,19.41,7.09,6.54,7.32,3.31
Primary Partners,Florida,01/01/2013,Track1,Yes,7281,$83419162,$84494055,$-1074892,-1.29%,,-,Yes,89.20%,77.93,92.06,90.83,84.68,62.55,74.3,70.56,15.84,1.19,1.73,73.68,98.19,75.3,76.55,75.71,82.71,97.32,60.37,72.02,74.04,69.21,35.44,79.37,56.91,77.2,91.85,91.83,10.48,78.21,59.78,91.92,77.14,78.75,81.17,90
"Primary Partners, LLC",Florida,04/01/2012,Track1,Yes,7078,$63798902,$62138506,$1660396,2.6%,,-,Yes,94.38%,83.28,93.9,93.54,84.68,68.13,78.48,70.77,15.02,1.09,1.32,90.91,92.78,87.5,80.08,76.51,84.59,97.88,82.98,73,79.08,67.41,41.68,80.89,66.72,77.1,90.44,96.02,9.72,75.54,72.79,94.28,95.92,88.53,90.62,94.87
"Privia Quality Network, LLC","Virginia,  District of Columbia,  Maryland",01/01/2014,Track1,No,13805,$110870154,$105168945,$5701209,5.14%,$5701209,"$2,793,592 ",Yes,P4R,80.06,92.89,91.99,84.21,58.86,74.07,74.51,14.84,0.8,1.27,84.88,100,46.21,40.81,56.77,49.11,86,32.8,47.55,61.36,33.33,22.27,67.73,54.09,70.45,82.5,42,23.86,72.94,46.18,29.24,59.68,36.47,47.28,50.7
"ProHEALTH Accountable Care Medical Group, PLLC",New York,07/01/2012,Track1,No,28825,$275715167,$258561947,$17153220,6.22%,$17153220,"$8,019,532 ",Yes,95.41%,82.71,95.1,93.82,86.73,63.29,77.38,73.14,14.1,0.6,0.84,96.43,79.91,85.47,84.7,79.87,91.4,96.84,63.43,79.95,80.91,79.95,46.33,84.17,71.56,81.19,89.68,95.45,7.11,84.34,76.12,89.98,94.41,85.86,90.51,84.3
"ProHealth Physicians ACO, LLC",Connecticut,01/01/2013,Track1,No,33204,$324349909,$342683236,$-18333327,-5.65%,,-,Yes,91.53%,86.25,92.86,92.68,83.63,66.36,76.76,72.23,14.75,0.96,1.21,88.28,55.03,70.68,66.72,82.87,58.12,80.75,59.26,72.74,64.66,42.08,48.6,80.3,76.03,82.76,89.66,75.86,9.69,80.53,64.73,69.71,72.22,74.43,79.19,71.65
"ProHealth Solutions, LLC",Wisconsin,07/01/2012,Track1,No,19126,$160273428,$153865127,$6408302,4%,$6408302,"$2,825,360 ",Yes,89.98%,84.92,94.61,94.23,85.9,60.04,78.23,73.62,14.49,0.86,1.26,96.61,98.58,51.15,68.26,84.56,47.78,99.34,5.04,79.27,79.57,42.89,37.97,77.41,73.65,74.96,88.38,89.84,9.66,72.14,70.68,92.42,95,80.56,86.32,78.78
"ProMedica Physician Group, Inc.","Ohio,  Michigan",07/01/2012,Track1,No,16852,$136381798,$139149012,$-2767215,-2.03%,,-,Yes,88.43%,80.48,93.46,92.64,81.12,53.91,75.93,75.01,14.14,1.01,1.11,91.67,55.85,66.27,68.47,74.46,79.86,96.65,77.22,70.41,80.05,32.7,32.44,76.83,59.27,78.78,81.22,93.96,11.44,73.79,63.59,90.05,86.09,68.9,76.46,79.21
"Quality Independent Physicians, LLC","Kentucky,  Indiana",07/01/2012,Track1,Yes,12618,$138777395,$125165973,$13611421,9.81%,$13611421,"$6,062,187 ",Yes,90.89%,83.66,94.02,93.4,87.74,60.94,74.43,72.25,14.34,0.82,1.21,71.15,92.95,81.31,78.22,78.72,84.85,93.18,78.83,77.65,68.99,92.2,32.87,74.7,63.35,76.89,79.08,97.86,15.34,68.58,63.76,88.43,92.31,80.17,85.77,80.6
"Qualuable Medical Professionals, LLC","Virginia,  Tennessee",01/01/2013,Track1,No,22975,$181419277,$164796468,$16622809,9.16%,$16622809,"$7,406,111 ",Yes,90.93%,84,95.21,93.43,87.49,56.42,74.57,69.51,15.29,1.04,1.13,87.3,96.2,69.52,76.21,73.97,73.19,85.48,55,69.64,82,78.1,36.05,77.55,64.17,76.87,80.95,87.35,12.02,71.48,62.81,92.29,61.32,83.37,86.26,89.86
"R TotalHealth, LLC","Nevada,  California",01/01/2014,Track1,No,13069,$115819664,$125484413,$-9664749,-8.34%,,-,Yes,P4R,79.48,90.58,89.14,80.9,51.92,73.89,72.29,15.74,1.01,0.94,74.7,90.29,51.07,66.88,46.32,38.6,85.67,4.16,49.91,80.98,99.35,20.44,56.91,52.3,73.95,86.17,95.97,22.85,72.3,55.15,66.74,84.02,49.43,53.77,89.09
Rainier Health Network,Washington,01/01/2013,Track1,No,32410,$253459464,$252121824,$1337639,0.53%,,-,Yes,85.33%,76.99,89.85,88.83,81.98,54.81,74.1,70.76,14.12,0.62,1.14,85.37,84.64,26.51,54.58,48.49,61.95,93.77,13.21,40.58,51.21,62.88,21.45,71.96,52.7,60.81,74.49,79.62,17.57,62.94,55.19,86.16,83.57,51.24,58.65,72.54
"Redwood Community Care Organization, LLC",California,01/01/2014,Track1,No,7775,$65062114,$67322403,$-2260289,-3.47%,,-,Yes,P4R,73.32,91.65,92.54,84.26,64.47,75.71,68.16,14.29,0.76,0.93,,67.47,2.63,54.3,60.79,47.02,68.09,37.29,33.17,60.66,44.26,9.76,58.54,41.95,64.39,57.56,82.54,26.57,60.22,40.95,78.57,84.38,50,54.97,75.28
Reliance ACO LLC,Michigan,01/01/2014,Track1,No,14485,$194931887,$182761223,$12170664,6.24%,$12170664,"$5,963,625 ",Yes,P4R,77.62,91.02,92.9,82.77,56.91,75.27,66.16,16.49,1.42,1.04,65.22,98.68,18.28,37.7,14.07,78.56,84.42,25.3,32.03,44.58,76.04,3.41,59.07,43.27,67.5,25.67,100,35.32,64.94,51.26,53.6,97.55,83.71,83.76,57.35
Reliance Health Network,Florida,07/01/2012,Track1,Yes,4402,$53916460,$50034398,$3882063,7.2%,$3882063,"$1,484,404 ",Yes,78.04%,81.64,93.39,90.71,81.34,60.51,73.85,69.69,15.59,1.85,1.54,57.69,100,45.38,52.05,39.95,76.61,84.92,31.32,60.92,64.34,94.48,5.8,69.44,55.71,56.87,46.62,41.19,21.08,55.68,61.9,76.19,60,76.7,79.22,71.43
Revere Health,"Utah,  Nevada",07/01/2012,Track1,No,15581,$144733107,$149638352,$-4905245,-3.39%,,-,Yes,80.86%,78.77,92.05,91.86,83.09,50.29,74.78,70.55,13.9,0.55,0.59,92.54,71.12,12.5,47.26,55.03,44.97,85.23,5.13,64.37,55.12,56.95,31.85,75.58,53.96,70.79,88.45,79.07,16.17,65.33,59.76,72.22,59.18,61.23,64.56,47.62
"RGV ACO Health Providers, LLC",Texas,04/01/2012,Track2,Yes,7863,$108469972,$94702479,$13767494,12.69%,$13767494,"$7,528,797 ",Yes,93.00%,75.95,90.08,90.37,77.12,65.11,80.03,70.62,15.38,0.51,1.11,66.67,97.65,87.11,81.66,89.27,81.16,96.59,78.55,64.61,71.34,71.25,49.17,76.83,75.83,84.33,93.67,93.09,12.83,83.9,75.22,91.8,96.67,89.81,92.7,93.69
"Rio Grande Valley Health Alliance, LLC",Texas,01/01/2013,Track1,Yes,4719,$61717441,$53045550,$8671891,14.05%,$8671891,"$3,403,175 ",Yes,80.09%,76.58,91.59,91.24,82.68,61.74,72.2,66.86,15.17,1.09,1.85,42.86,89.26,79.95,81.11,70.7,87.3,95.75,84.34,67.95,70.14,70,29.41,70.59,66.12,70.35,88.47,87.61,14.35,70.82,70.67,87.3,82.22,81.8,92.61,84.16
"River Health ACO,LLC",Pennsylvania,01/01/2014,Track1,No,32878,$277276169,$280425133,$-3148963,-1.14%,,-,Yes,P4R,84.52,93.17,92.05,84.67,55.05,74.67,74.56,14.6,1.17,1.13,88.51,88.08,60.36,65.89,70.93,56.69,88.33,48.8,64.96,72.81,47.06,33.86,76.59,67.95,76.59,79.77,80.56,9.95,68.98,64.35,91.67,91.91,78.16,86.05,76.68
"RRHS ACO, Inc.",New York,01/01/2014,Track1,No,11844,$101018304,$105719054,$-4700749,-4.65%,,-,Yes,P4R,80.87,91.41,91.57,83.9,57.99,72.02,72.55,15.2,0.97,1.26,78.91,85.8,43.06,61.18,61.06,42.76,85.82,28.96,55.31,61.16,48.93,27.6,66.84,60.42,68.75,80.21,85.81,20.95,67.75,60.31,86.64,94.03,61.72,68.25,73.62
RWJ Partners LLC,New Jersey,01/01/2014,Track1,No,8456,$84121540,$83530046,$591494,0.7%,,-,Yes,P4R,80.74,93.83,93.08,85.65,59.63,79.05,70.86,14.79,0.81,1.49,72.31,67.55,25.26,52.3,50.17,57.02,87.84,10.24,51.61,46.23,50,21.47,71.72,57.24,61.5,82.28,79.9,19.11,63.13,56.69,86.03,88.06,68.31,76.63,74.55
Saint Francis HealthCare Partners ACO Inc.,Connecticut,01/01/2013,Track1,No,21549,$247111115,$244788720,$2322395,0.94%,,-,Yes,87.41%,85.64,93.81,91.44,80.46,60.29,78.32,72.91,15.78,1.04,1.17,57.81,94.69,40.04,48.25,54.07,75.64,91.14,27.21,67.73,66.19,77.18,27.09,74.94,62.08,67.95,81.04,79.53,14.77,68.45,69.46,85.75,78.47,76.76,83.45,80
Saint Vincent Accountable Health Network,"Montana,  Wyoming",01/01/2014,Track1,No,10115,$86426120,$85092929,$1333191,1.54%,,-,Yes,P4R,80.16,91.68,92,84.69,56.05,76.06,72.53,14.65,0.84,1.33,86.67,94.99,93.43,47.13,56.07,51.53,87.85,33.81,47.61,55.95,39.87,16.42,68.19,43.87,66.11,86.28,75.33,19.42,58.28,50.47,81.4,85.96,70.39,77.53,74.3
Saint Vincent Healthcare Partners,"New York,  Pennsylvania",01/01/2014,Track1,No,7913,$66743581,$65506360,$1237221,1.85%,,-,Yes,P4R,82.41,94.69,93.1,83.21,54.12,75.88,71.94,14.45,1,1.14,79.66,100,57.26,18.85,58.56,45.83,67.92,20.11,53.67,58.01,34.99,19.14,69.48,54.66,69.48,62.76,69.77,21.55,69.68,55.37,75.21,94.12,83.97,93.26,71.86
Scottsdale Health Partners,Arizona,01/01/2014,Track1,No,15350,$126243570,$122502508,$3741063,2.96%,$3741063,"$1,833,121 ",Yes,P4R,80.12,91.5,91.04,83.48,58.04,73.44,72.48,14.82,0.59,1.15,75,78,17.28,32.2,25.5,59.26,80.64,28.67,51.59,60.3,57.21,23.81,68.86,62.45,56.78,77.66,62.94,31.75,54.35,57.49,74.4,75.61,74.64,84.1,63.43
SEMAC,Michigan,07/01/2012,Track1,No,12879,$158241990,$155280782,$2961208,1.87%,,-,Yes,77.94%,79.54,90.21,89.26,85.07,53.78,72.18,69.37,17.41,1.94,1.27,67.07,94.21,47.8,49.42,42.59,77.65,91.2,45.36,40.2,49.69,71.02,18.42,63.51,52.32,66.78,66.09,90.97,23.45,60.91,54.45,84.62,94.74,64.05,67.16,84.56
SERPA-ACO,Nebraska,01/01/2013,Track1,Yes,11175,$102480779,$105603359,$-3122580,-3.05%,,-,Yes,93.57%,82.35,93.48,92.22,84.62,56.25,76.33,73.07,14.68,0.92,0.84,100,98.39,76.81,78.97,88.25,58.46,95.33,69.35,66.43,71.72,63.48,37.88,80.61,65.53,75.58,88.33,89.6,9.16,75.5,55.7,88.21,88.65,61.35,64.4,83.49
"Seton Accountable Care Organization, Inc.",Texas,01/01/2014,Track1,No,13683,$114695554,$104126570,$10568983,9.21%,$10568983,"$5,178,802 ",Yes,P4R,80.53,93.05,92.36,83.35,56.12,75.5,73.56,14.26,1.18,1.22,94.83,98.92,46.89,62.5,80.52,49.51,96.73,40.39,63.25,71.85,53.21,34.54,72.54,64.94,77.37,92.06,63.75,17.44,76.87,58.12,92.32,89.8,73.25,80.46,82.29
Silver State ACO LLC,Nevada,01/01/2014,Track1,No,12198,$123975699,$124972693,$-996994,-0.8%,,-,Yes,P4R,71.37,90.9,89.04,80.46,54.64,72.93,70.32,15.34,0.77,1.15,72.09,80.45,15.03,42.91,30.51,73.04,84.67,24.91,37.64,60.07,69.81,23.68,62.75,51.42,77.73,78.54,72.22,29.15,66.61,51.97,77.73,89.83,59.75,65.04,79.26
South Bend Clinic Accountable Care,"Michigan,  Indiana",01/01/2014,Track1,No,7934,$65886751,$63210345,$2676406,4.06%,$2676406,"$1,311,439 ",Yes,P4R,83.08,93.08,92.06,84.25,53.86,70.43,70.78,14.81,1.67,1.05,96.97,94.96,28.4,62.77,76.16,45.26,87.83,17.79,71.78,75.42,21.66,30.81,77.26,62.35,73.59,78.48,90.1,11.44,72.75,68.61,84.43,71.19,66.42,78,61.08
"South Florida Accountable Care Organization,LLC",Florida,01/01/2013,Track1,No,6850,$127483618,$121205925,$6277693,4.92%,$6277693,"$2,684,351 ",Yes,87.27%,81.2,92.84,92.42,86.28,67.19,76.71,67.8,17.25,2.53,1.61,72.22,97.49,83.22,75.19,67.06,92.8,97.63,86.3,64.93,71.26,97.28,28.92,68.43,55.9,75.42,82.41,97.28,21.93,71.01,57.73,91.79,97.86,89.69,92.29,93.12
"Southcoast Accountable Care Organization, LLC","Massachusetts,  Rhode Island",01/01/2013,Track1,No,19327,$185369749,$188148189,$-2778440,-1.5%,,-,Yes,88.55%,80.02,93.83,91.99,82.07,54.82,79.29,75.61,15.78,1.4,1.08,89.13,71.4,50.12,50.36,48.94,63.79,93.36,14.21,62.35,81.37,61.52,33.49,74.58,62.71,74.58,85.75,84.76,13.06,75.36,62.44,94.5,87.29,71.97,84.17,70
Southern Kentucky Health Care Alliance,Kentucky,07/01/2012,Track1,No,5059,$53867703,$47197546,$6670157,12.38%,$6670157,"$2,554,879 ",Yes,78.17%,72.55,89.7,88.23,83.87,52.65,70.61,66.27,14.81,1.9,1.09,55.56,94.56,61.66,72.01,51.66,88.85,93.83,51.64,44.83,56.07,89.07,20.95,69.09,54.39,72.47,59.29,86.42,18.09,68.18,61.17,77.87,86.09,62.87,76.45,65.02
"Southern Maryland Integrated Care, LLC","Maryland,  District of Columbia",01/01/2013,Track1,No,8973,$95924543,$102850674,$-6926131,-7.22%,,-,Yes,77.43%,80.27,92.02,90.91,81.65,56.26,69.03,70.79,15.07,1.44,1.5,78.26,95.49,38.08,47.88,46.39,46.85,69.85,22.8,51.8,44.93,30.65,14.59,58.11,50.54,57.84,71.35,69.75,28.65,59.85,54.43,76.27,90.74,67.18,76.99,69.63
Southern NMIPA ACO LLC,New Mexico,01/01/2014,Track1,No,7419,$58813820,$62989567,$-4175748,-7.1%,,-,No,P4R,72.4,90.83,89.8,80.87,58.97,71.96,71.05,15.29,1.08,1.31,46.43,,,,,,,,,,,,,,,,,,,,,,,,
"SSM ACO, LLC","Missouri,  Illinois",01/01/2014,Track1,No,22553,$205545690,$204482908,$1062781,0.52%,,-,Yes,P4R,80.86,93.46,92.68,84.89,56.55,75.75,71.39,15.28,0.64,1.22,92.66,97.36,82.98,67.5,86.45,73.56,96.53,79.02,76.06,60.88,49.38,30.54,75.7,61.58,70.11,86.21,79.41,14.1,71.88,63.79,91.37,96.6,67.47,81.75,66.07
St Joseph Health Partners ACO,Texas,01/01/2014,Track1,No,5818,$55401304,$56344300,$-942997,-1.7%,,-,Yes,P4R,84.32,93.78,93.73,82.47,54.85,76.74,71.79,14.89,1.83,1.32,61.59,96.26,47.2,31.63,47.45,40.88,67.4,4.68,10.22,19.71,25,15.27,67.49,38.92,62.32,73.4,72.16,24.57,61.8,36.97,79.26,88.89,58.74,68.45,67.9
St Vincents Accountable Care Organization LLC,Florida,01/01/2014,Track1,No,6923,$70806183,$73096042,$-2289859,-3.23%,,-,Yes,P4R,79.43,93.95,93.89,87.27,55.52,77.61,70.45,15.83,1.47,1.18,98.18,97.49,36.47,51.99,35.48,60.29,94.91,28.61,56.76,66.89,83.21,27.1,69.3,56.12,65.23,87.77,87.16,22.25,68.31,63.35,78.88,86.71,63.88,72.93,75.44
"St. Luke's Clinic Coordinated Care, Ltd.","Idaho,  Oregon",01/01/2013,Track1,No,28877,$237731249,$249859284,$-12128035,-5.1%,,-,Yes,92.37%,81.39,93.67,92.21,85.37,56.5,79.18,70.2,13.68,0.54,0.71,88.95,98.11,55.61,49.67,65.63,70.42,91.34,43.74,59.57,65.73,91.06,27.72,71.6,57.14,69.56,85.37,93.14,14.63,67.55,44.83,93.68,90,87.48,92.46,85.95
St. Thomas Medical Group PLLC,Tennessee,07/01/2012,Track1,Yes,5148,$42174602,$39631031,$2543570,6.03%,$2543570,"$1,057,032 ",Yes,84.81%,82.64,91.99,91.68,84.66,57.77,72.72,72.44,14.15,1.21,0.99,68.75,100,28.08,40.42,72.08,60.3,94.48,49.03,57.5,65.58,92.55,19.4,66.1,51.39,75.91,76.97,74.44,23.45,76.17,58.66,74.91,0,69.78,72.88,83.23
Summit Health Solutions,Tennessee,07/01/2012,Track1,No,37174,$289392197,$299850919,$-10458722,-3.61%,,-,Yes,93.14%,85.44,94.16,93.16,84.99,59.97,77.26,68.44,14.8,0.76,1.17,97.97,88.59,69.93,65.15,67.03,61.86,94.83,69.78,58.15,74.07,33.04,40.45,81.72,71.05,73.72,86.45,90.3,8.62,73.36,69.85,92.62,80.53,71.96,80.95,76.78
Sunshine ACO LLC,Texas,01/01/2014,Track1,No,5837,$74023974,$68446752,$5577221,7.53%,$5577221,"$2,732,839 ",Yes,P4R,77.81,91.11,90.9,88.37,63.62,78.33,66.7,15.36,1.21,1.17,66.67,91.67,70.59,53.46,54.55,72.49,87.42,53.13,45.9,53.52,63.92,29.05,69.62,60.27,73.62,79.63,71.02,21.17,70.17,66.13,82.86,85.45,75.2,85.6,81.33
SW Provider Partners LLC,Texas,01/01/2014,Track1,No,14289,$152719651,$151327506,$1392145,0.91%,,-,Yes,P4R,83.37,92.44,91.57,87.42,63.1,78.15,70.29,14.48,1.42,1.13,92.16,78.82,45.22,60.56,73.5,66.49,92.48,51.07,63.93,71.52,55.07,32.05,72.05,63.64,69.32,86.59,76.82,17.16,69.07,60.78,86.42,87.7,64.98,79.06,64.78
"Texoma ACO, LLC",Texas,07/01/2012,Track1,Yes,5713,$50453499,$54904885,$-4451385,-8.82%,,-,Yes,92.10%,77.5,93.29,92.31,87.99,64.12,75.37,68.51,14.35,1.05,0.92,100,98.1,57.7,54.3,62.9,74.73,88.44,52.85,70.63,81.13,48.61,39.48,82.51,69.03,72.58,90.07,92.41,10.4,71.83,65.3,88.67,97.73,77.62,84.02,83.72
"The Accountable Care Organization, Ltd.",Michigan,01/01/2014,Track1,No,30051,$352066392,$343006901,$9059491,2.57%,$9059491,"$4,439,151 ",Yes,P4R,84.53,93.32,93.69,83.87,59.26,72.16,71.16,16.31,0.94,1.26,59.03,75.71,31.96,45.25,56.86,68.01,85.33,34.59,53.04,53.59,55.73,20.79,66.13,50.9,74.19,67.56,92.22,20.21,71.97,55.45,85.91,96.12,75.29,81.29,83.19
The Polyclinic,Washington,07/01/2012,Track1,No,7783,$58361977,$58522013,$-160036,-0.27%,,-,Yes,88.13%,84.05,93.31,92.65,88.03,54.23,73.47,73.9,15.21,0.48,0.76,92.42,88.51,35.77,53.28,77.13,56.1,98.54,13.66,63.75,79.08,36.98,45.74,80.54,74.94,79.32,94.4,94.02,8.27,76.89,63.75,85.4,86.54,76.64,81.03,84.29
The Premier HealthCare Network LLC,Georgia,01/01/2013,Track1,No,4544,$50484567,$48758907,$1725660,3.42%,,-,Yes,73.45%,76.94,91.01,90.16,85.31,56.46,69.57,71.57,15.93,1.25,1.67,86.67,100,0.85,50.83,33.47,51.64,85.14,0.8,54.23,51.47,73.09,19.72,66.9,42.61,61.62,80.63,63.16,28.52,57.08,62.07,65.52,100,61.11,66.67,85.71
"THP-Meritus ACO, LLC","West Virginia,  Pennsylvania,  Maryland",01/01/2014,Track1,No,16461,$186663981,$190458695,$-3794715,-2.03%,,-,Yes,P4R,77.63,91.44,89.89,84.52,50.7,70.39,73.72,15.36,0.66,0.95,85.42,87.52,34.31,49.49,66.72,55.23,53.96,18.17,57.94,66.94,43.94,7.08,68.13,57.67,74.03,24.79,77.83,18.58,66.78,64.94,75.82,68.12,70.15,74.6,76.6
"Tidewater Accountable Care Organization, LLC",Virginia,01/01/2014,Track1,No,19230,$148515636,$149242109,$-726473,-0.49%,,-,Yes,P4R,81.09,93.57,93.4,86.42,60.46,75.79,72.3,14.7,0.57,1.32,96.1,95.19,33.93,49.59,66.07,50.57,58.89,27.44,71.1,56.28,47.09,19.9,73.68,59.21,70.39,56.91,93.25,19.24,65.82,61.3,80.65,88.33,70.55,75.25,82.88
"Torrance Memorial Integrated Physicians, LLC",California,07/01/2012,Track1,No,14606,$168922985,$167866109,$1056876,0.63%,,-,Yes,82.78%,80.39,89.44,89.4,82.96,54.7,71.34,72.37,15.11,0.8,0.95,69.05,89.73,65.26,70.02,54.5,75.31,90.96,66.54,59.86,64.97,87.62,32.22,73.67,61.89,79.57,78.59,74.29,21.02,72.3,61.02,80.18,86.55,71.62,81.56,72.41
TP-ACO L.L.C.,"Tennessee,  Louisiana,  Mississippi",07/01/2012,Track1,No,11275,$114784718,$107417066,$7367652,6.42%,$7367652,"$3,133,900 ",Yes,86.81%,81.24,94.5,92.5,84.85,61.28,78.16,69.28,14.32,1.74,1.21,59.7,95.79,64.83,57.38,52.52,70.28,82.86,44.13,47.28,46.47,71.36,0,64.96,0,58.39,67.88,51.89,27.74,60.96,48,75.78,95.83,56.45,63.02,61.74
Triad HealthCare Network,North Carolina,07/01/2012,Track1,No,35751,$307105802,$303532135,$3573666,1.16%,,-,Yes,85.22%,80.37,92.7,92.13,85.72,59.94,71.28,69.74,14.47,0.8,1.36,81.86,90.71,65.69,62.48,75.54,61.31,89.92,46.57,74.55,78.99,74.65,30.07,75.54,64.31,68.48,82.43,89.2,15.53,67.62,61.65,86.92,83.02,65.8,77.03,79.06
UCLA Faculty Practice Group,California,01/01/2013,Track1,No,24254,$304804383,$318942970,$-14138587,-4.64%,,-,Yes,86.14%,78.95,92.07,91.65,81.76,57.4,75.49,69.42,16.82,0.93,1.14,92.89,30.68,41.71,57.49,66.5,57.66,92.46,8.52,58.74,57.52,81.27,21.17,76.4,54.01,64.72,82.73,84.17,12.65,62.38,52.55,83.21,96.43,64.96,68.63,84.24
UnityPoint Health Partners,"Illinois,  Iowa,  Missouri",07/01/2012,Track1,No,80792,$693250847,$704745254,$-11494407,-1.66%,,-,Yes,90.99%,84.78,91.86,91.72,85.43,57.69,74.98,74.07,15.37,1.05,1.14,84.99,99.63,48.55,62.81,66.15,62.39,90.81,60.94,68.47,67.32,37.75,33.56,72.44,58.44,81.33,83.11,94.19,14.22,79.57,58,94.43,87.22,63.82,70.91,77.18
